id,submitter,categories,abstract,title,affiliation
10,Akihiko Inoue,math.PR math.ST stat.TH,"  Some of the most important results in prediction theory and time series
analysis when finitely many values are removed from or added to its infinite
past have been obtained using difficult and diverse techniques ranging from
duality in Hilbert spaces of analytic functions (Nakazi, 1984) to linear
regression in statistics (Box and Tiao, 1975). We unify these results via a
finite-dimensional duality lemma and elementary ideas from the linear algebra.
The approach reveals the inherent finite-dimensional character of many
difficult prediction problems, the role of duality and biorthogonality for a
finite set of random variables. The lemma is particularly useful when the
number of missing values is small, like one or two, as in the case of
Kolmogorov and Nakazi prediction problems. The stationarity of the underlying
process is not a requirement. It opens up the possibility of extending such
results to nonstationary processes.
","Applications of a finite-dimensional duality principle to some
  prediction problems",Kyushu University
11,Akihiko Inoue,math.PR q-fin.MF,"  We introduce a Vasicek-type short rate model which has two additional
parameters representing memory effect. This model presents better results in
yield curve fitting than the classical Vasicek model. We derive closed-form
expressions for the prices of bonds and bond options. Though the model is
non-Markov, there exists an associated Markov process which allows one to apply
usual numerical methods to the model. We derive analogs of an affine term
structure and term structure equations for the model, and, using them, we
present a numerical method to evaluate contingent claims.
",A Vasicek-type short rate model with memory effect,Kyushu University
12,Akihiko Inoue,q-fin.PR math.PR q-fin.RM,"  We present a general approach to the pricing of products in finance and
insurance in the multi-period setting. It is a combination of the utility
indifference pricing and optimal intertemporal risk allocation. We give a
characterization of the optimal intertemporal risk allocation by a first order
condition. Applying this result to the exponential utility function, we obtain
an essentially new type of premium calculation method for a popular type of
multi-period insurance contract. This method is simple and can be easily
implemented numerically. We see that the results of numerical calculations are
well coincident with the risk loading level determined by traditional
practices. The results also suggest a possible implied utility approach to
insurance pricing.
",Optimal intertemporal risk allocation applied to insurance pricing,Kyushu University
13,Akihiko Inoue,math.PR math.ST stat.TH,"  For a multivariate stationary process, we develop explicit representations
for the finite predictor coefficient matrices, the finite prediction error
covariance matrices and the partial autocorrelation function (PACF) in terms of
the Fourier coefficients of its phase function in the spectral domain. The
derivation is based on a novel alternating projection technique and the use of
the forward and backward innovations corresponding to the predictions based on
the infinite past and future, respectively. We show that such representations
are ideal for studying the rates of convergence of the finite predictor
coefficients, prediction error covariances, and the PACF as well as for proving
a multivariate version of Baxter's inequality for a multivariate FARIMA process
with a common fractional differencing order for all components of the process.
","Baxter's inequality for finite predictor coefficients of multivariate
  long-memory stationary processes",Kyushu University
14,Akihiko Inoue,math.PR math.ST stat.TH,"  The aim of this paper is to prove an analogue of Baxter's inequality for
fractional Brownian motion-type processes with Hurst index less than 1/2. This
inequality is concerned with the norm estimate of the difference between
finite- and infinite-past predictor coefficients.
","Baxter's inequality for fractional Brownian motion-type processes with
  Hurst index less than 1/2",Kyushu University
15,Akihiko Inoue,math.PR,"  We derive a closed-form expression for the finite predictor coefficients of
multivariate ARMA (autoregressive moving-average) processes. The expression is
given in terms of several explicit matrices that are of fixed sizes independent
of the number of observations. The significance of the expression is that it
provides us with a linear-time algorithm to compute the finite predictor
coefficients. In the proof of the expression, a correspondence result between
two relevant matrix-valued outer functions plays a key role. We apply the
expression to determine the asymptotic behavior of a sum that appears in the
autoregressive model fitting and the autoregressive sieve bootstrap. The
results are new even for univariate ARMA processes.
","Closed-form expression for finite predictor coefficients of multivariate
  ARMA processes",Kyushu University
16,Akihiko Inoue,math.PR math.CA,"  We prove a representation of the partial autocorrelation function (PACF) of a
stationary process, or of the Verblunsky coefficients of its normalized
spectral measure, in terms of the Fourier coefficients of the phase function.
It is not of fractional form, whence simpler than the existing one obtained by
the second author. We apply it to show a general estimate on the Verblunsky
coefficients for short-memory processes as well as the precise asymptotic
behaviour, with remainder term, of those for FARIMA processes.
",An explicit representation of Verblunsky coefficients,Kyushu University
17,Akihiko Inoue,math.ST math.PR stat.TH,"  We consider the finite-past predictor coefficients of stationary time series,
and establish an explicit representation for them, in terms of the MA and AR
coefficients. The proof is based on the alternate applications of projection
operators associated with the infinite past and the infinite future. Applying
the result to long memory processes, we give the rate of convergence of the
finite predictor coefficients and prove an inequality of Baxter-type.
","Explicit representation of finite predictor coefficients and its
  applications",Kyushu University
18,Akihiko Inoue,math.FA cs.NA math.NA math.PR,"  We derive novel explicit formulas for the inverses of truncated block
Toeplitz matrices that correspond to a multivariate minimal stationary process.
The main ingredients of the formulas are the Fourier coefficients of the phase
function attached to the spectral density of the process. The derivation of the
formulas is based on a recently developed finite prediction theory applied to
the dual process of the stationary process. We illustrate the usefulness of the
formulas by two applications. The first one is a strong convergence result for
solutions of general block Toeplitz systems for a multivariate short-memory
process. The second application is closed-form formulas for the inverses of
truncated block Toeplitz matrices corresponding to a multivariate ARMA process.
The significance of the latter is that they provide us with a linear-time
algorithm to compute the solutions of corresponding block Toeplitz systems.
","Explicit formulas for the inverses of Toeplitz matrices, with
  applications",Kyushu University
19,Akihiko Inoue,math.PR,"  We study the linear filtering problem for systems driven by continuous
Gaussian processes with memory described by two parameters. The driving
processes have the virtue that they possess stationary increments and simple
semimartingale representations simultaneously. It allows for straightforward
parameter estimations. After giving the semimartingale representations of the
processes by innovation theory, we derive Kalman-Bucy-type filtering equations
for the systems. We apply the result to the optimal portfolio problem for an
investor with partial observations. We illustrate the tractability of the
filtering algorithm by numerical implementations.
",Linear filtering of systems with memory,Kyushu University
20,Akihiko Inoue,math.PR,"  We construct a binary market model with memory that approximates a
continuous-time market model driven by a Gaussian process equivalent to
Brownian motion. We give a sufficient conditions for the binary market to be
arbitrage-free. In a case when arbitrage opportunities exist, we present the
rate at which the arbitrage probability tends to zero as the number of periods
goes to infinity.
",Binary market models with memory,Kyushu University
21,Akihiko Inoue,math.PR q-fin.PM,"  We consider a financial market model driven by an R^n-valued Gaussian process
with stationary increments which is different from Brownian motion. This
driving noise process consists of $n$ independent components, and each
component has memory described by two parameters. For this market model, we
explicitly solve optimal investment problems. These include (i) Merton's
portfolio optimization problem; (ii) the maximization of growth rate of
expected utility of wealth over the infinite horizon; (iii) the maximization of
the large deviation probability that the wealth grows at a higher rate than a
given benchmark. The estimation of paremeters is also considered.
",Optimal long term investment model with memory,Kyushu University
22,Akihiko Inoue,math.SP math.PR,"  We prove a representation of the partial autocorrelation function (PACF), or
the Verblunsky coefficients, of a stationary process in terms of the AR and MA
coefficients. We apply it to show the asymptotic behaviour of the PACF. We also
propose a new definition of short and long memory in terms of the PACF.
","AR and MA representation of partial autocorrelation functions, with
  applications",Kyushu University
23,Akira Miura,cond-mat.supr-con,"  The crystal structures of superconducting LaO1-xFxBiS2 (x ~ 0.23, 0.46) were
determined by single-crystal X-ray diffraction analysis. Their space group was
P4/nmm. Distortion of the Bi-S plane changed when the F content was increased
from 0.23 to 0.46, and a nearly flat Bi-S plane was formed at x ~ 0.46.
Computational calculations supported this effect of F doping on distortion of
Bi-S plane. LaO1-xFxBiS2 with higher F contents were computationally predicted
to be thermodynamically more unstable under ambient pressure. We discussed the
bonding, conductivities, and synthetic routes of LaO1-xFxBiS2.
","Crystal structures of LaO1-xFxBiS2 (x~0.23, 0.46): effect of F doping on
  distortion of Bi-S plane",University of Tokyo
24,Akira Miura,cond-mat.mtrl-sci,"  The band gaps of isostructural Bi2OS2 and LaOBiS2 were examined using optical
absorption and discussed with the band structures calculated based on the
crystal structures determined using synchrotron X-ray diffraction. The Bi 6p
and S 3p orbitals in the Bi-S plane were computationally predicted to
constitute the bands near the Fermi level. The optical reflectance spectra of
Bi2OS2 and LaOBiS2 showed optical band gaps of ca. 1.0 eV, which were close to
the computationally calculated direct band gaps of ca. 0.8 eV. Our results show
that Bi2OS2 and LaOBiS2 are semiconductors containing direct band gaps of
0.8-1.0 eV, and they are suggested to be candidates for optoelectronic
materials in the near-infrared region without highly toxic elements.
",Structures and Optical Absorption of Bi2OS2 and LaOBiS2,University of Tokyo
25,Akiyoshi Shioura,math.OC,"  In this paper we consider a new problem of minimizing an M-convex function
under L1-distance constraint (MML1); the constraint is given by an upper bound
for L1-distance between a feasible solution and a given ""center."" This is
motivated by a nonlinear integer programming problem for re-allocation of dock
capacity in a bike sharing system discussed by Freund et al. (2017). The main
aim of this paper is to better understand the combinatorial structure of the
dock re-allocation problem through the connection with M-convexity, and show
its polynomial-time solvability using this connection. For this, we first show
that the dock re-allocation problem can be reformulated in the form of (MML1).
We then present a pseudo-polynomial-time algorithm for (MML1) based on steepest
descent approach. We also propose two polynomial-time algorithms for (MML1) by
replacing the L1-distance constraint with a simple linear constraint. Finally,
we apply the results for (MML1) to the dock re-allocation problem to obtain a
pseudo-polynomial-time steepest descent algorithm and also polynomial-time
algorithms for this problem. The proposed algorithm is based on a
proximity-scaling algorithm for a relaxation of the dock re-allocation problem,
which is of interest in its own right.
",M-convex Function Minimization Under L1-Distance Constraint,Tohoku University
26,Alan Williams,physics.bio-ph q-bio,"  We investigate the stability of negative image equilibria in mean synaptic
weight dynamics governed by spike-timing dependent plasticity (STDP). The
neural architecture of the model is based on the electrosensory lateral line
lobe (ELL) of mormyrid electric fish, which forms a negative image of the
reafferent signal from the fish's own electric discharge to optimize detection
of external electric fields. We derive a necessary and sufficient condition for
stability, for arbitrary postsynaptic potential functions and arbitrary
learning rules. We then apply the general result to several examples of
biological interest.
","Stability of Negative Image Equilibria in Spike-Timing Dependent
  Plasticity",University of Manchester
27,Alan Williams,q-bio.NC,"  Random walk methods are used to calculate the moments of negative image
equilibrium distributions in synaptic weight dynamics governed by spike-timing
dependent plasticity (STDP). The neural architecture of the model is based on
the electrosensory lateral line lobe (ELL) of mormyrid electric fish, which
forms a negative image of the reafferent signal from the fish's own electric
discharge to optimize detection of sensory electric fields. Of particular
behavioral importance to the fish is the variance of the equilibrium
postsynaptic potential in the presence of noise, which is determined by the
variance of the equilibrium weight distribution. Recurrence relations are
derived for the moments of the equilibrium weight distribution, for arbitrary
postsynaptic potential functions and arbitrary learning rules. For the case of
homogeneous network parameters, explicit closed form solutions are developed
for the covariances of the synaptic weight and postsynaptic potential
distributions.
",Random Walks for Spike-Timing Dependent Plasticity,University of Manchester
28,Alberto Verjovsky,math.AG math.CV,"  We present a proof of Chow's theorem using two results of Errett Bishop
retated to volumes and limits of analytic varieties. We think this approach
suggested a long time ago in the beautiful book by Gabriel Stolzenberg, is very
attractive and easier for students and newcomers to understand, also the theory
presented here is linked to areas of mathematics that are not usually
associated with Chow's theorem. Furthermore, Bishop's results imply both Chow's
and Remmert-Stein's theorems directly, meaning that this approach is more
economic and just as profound as Remmert-Stein's proof. At the end of the paper
there is a comparison table that explains how Bishop's theorems generalize to
several complex variables classical results of one complex variable.
",Chow's Theorem Revisited,National Autonomous University of Mexico
29,Alberto Verjovsky,math.GT math.MG,"  The $n$-skeleton of the canonical cubulation $\cal C$ of $\mathbb{R}^{n+2}$
into unit cubes is called the {\it canonical scaffolding} ${\cal{S}}$. In this
paper, we prove that any smooth, compact, closed, $n$-dimensional submanifold
of $\mathbb{R}^{n+2}$ with trivial normal bundle can be continuously isotoped
by an ambient isotopy to a cubic submanifold contained in ${\cal{S}}$. In
particular, any smooth knot $\mathbb{S}^{n}\hookrightarrow\mathbb{R}^{n+2}$ can
be continuously isotoped to a knot contained in ${\cal{S}}$.
","Any smooth knot $\mathbb{S}^{n}\hookrightarrow\mathbb{R}^{n+2}$ is
  isotopic to a cubic knot contained in the canonical scaffolding of
  $\mathbb{R}^{n+2}$",National Autonomous University of Mexico
30,Alberto Verjovsky,math.CV,"  In this paper we present a series of seemingly unrelated results of Complex
Analysis which are in fact connected via a different approach to their proofs
using the results of Errett Bishop of volumes and limits of analytic varieties.
We start by proving Chow's theorem by a technique suggested long time ago in
the beautiful book by Gabriel Stolzenberg. We think this approach is very
attractive and easier for students and newcomers to understand; also the theory
presented here is linked to areas of mathematics that are not usually
associated with Chow's result. In addition, Bishop's results imply both Chow's
and Remmert-Stein's theorems directly, meaning that this view is simpler and
just as profound as Remmert-Stein's proof. After that, we give a comparison
table that explains how Bishop's theorems generalize to several complex
variables classical results of one complex variable and prove Montel's
compactness theorem using the techniques presented here. Finally we give an
alternative proof of a theorem of Edwards, Millet and Sullivan of foliations
with compact leaves for the case of complex foliations in K\""ahler manifolds.
","Errett Bishop theorems on Complex Analytic Sets: Chow's Theorem
  Revisited and Foliations with all leaves Compact on K\""ahler Manifolds",National Autonomous University of Mexico
31,Alberto Verjovsky,math.GT math.DS,"  In this paper we construct infinitely many wild knots,
$\mathbb{S}^{n}\hookrightarrow\mathbb{S}^{n+2}$, for $n=2,3,4$ and 5, each of
which is a limit set of a geometrically finite Kleinian group. We also describe
some of their properties
",Wild knots in higher dimensions as limit sets of Kleinian groups,National Autonomous University of Mexico
32,Alberto Verjovsky,math.DG math.CV math.GT,"  In this paper we survey $n$-dimensional solenoidal manifolds for $n=1,2$ and
3, and present new results about them. Solenoidal manifolds of dimension $n$
are metric spaces locally modeled on the product of a Cantor set and an open
$n$-dimensional disk. Therefore, they can be ""laminated"" (or ""foliated"") by
$n$-dimensional leaves. By a theorem of A. Clark and S. Hurder, topologically
homogeneous, compact solenoidal manifolds are McCord solenoids i.e. are
obtained as the inverse limit of an increasing tower of finite, regular covers
of a compact manifold with an infinite and residually finite fundamental group.
In this case their structure is very rich since they are principal Cantor-group
bundles over a compact manifold and they behave like ""laminated"" versions of
compact manifolds, thus they share many of their properties. These objects
codify the commensurability properties of manifolds.
",Low-dimensional solenoidal manifolds,National Autonomous University of Mexico
33,Alberto Verjovsky,math.SG math.GT,"  We construct a smooth codimension-one foliation on the five-sphere in which
every leaf is a symplectic four-manifold and such that the symplectic structure
varies smoothly. Our construction implies the existence of a complete regular
Poisson structure on the five-sphere.
","A smooth codimension-one foliation of the five-sphere by symplectic
  leaves",National Autonomous University of Mexico
34,Alberto Verjovsky,math.GT,"  We say that a topological $n$-manifold $N$ is a cubical $n$-manifold if it is
contained in the $n$-skeleton of the canonical cubulation $\mathcal{C}$ of
${\mathbb{R}}^{n+k}$ ($k\geq1$). In this paper, we prove that any closed,
oriented cubical $2$-manifold has a transverse field of 2-planes in the sense
of Whitehead and therefore it is smoothable by a small ambient isotopy.
",Smoothing closed gridded surfaces embedded in ${\mathbb R}^4$,National Autonomous University of Mexico
35,Alberto Verjovsky,math.DG math.AG,"  For $n \geq 1$, the twistor space $\mathfrak{Z}(\mathbb{S}^{2n})$ of the
conformal $2n$-sphere is biholomorphic to the Zariski closure, taken in the
complex Grassmannian manifold $\mathbf{G}(n+1, 2n+2)$, of the set of graphs of
skew-symmetric linear endomorphism of $\mathbb{C}^{n+1}$. We use this fact to
describe a natural stratification of the twistor space
$\mathfrak{Z}(\mathbb{S}^{2n})$ with $n \geq 3$, in terms of what we have
called {\it generalised complex orthogonal Stiefel manifolds} of
$\mathbb{C}^{n+1}$. In particular, the twistor space
$\mathfrak{Z}(\mathbb{S}^{6})$ is biholomorphic to a non-singular complex
quadric hypersurface in $\mathbb{P}^{7}$. We explicitly construct a
real-analytic foliation, by linear 3-folds, of this quadric hypersurface such
that the quotient space is isomorphic to the 6-sphere with its standard metric.
This foliation is Riemannian with respect to the Fubini-Study metric and
isometrically equivalent to the twistor fibration over the 6-sphere.
","Skew-symmetric complex matrices, pure spinors, the twistor space of the
  conformal $2n$-sphere, and the Fano variety of linear $n$-folds of a
  non-singular complex quadric hypersurface in $\mathbb{P}^{2n+1}$",National Autonomous University of Mexico
36,Alberto Verjovsky,math.GT,"  In this paper we study topological surfaces as gridded surfaces in the
2-dimensional scaffolding of cubic honeycombs in Euclidean and hyperbolic
spaces.
",Topological surfaces as gridded surfaces in geometrical spaces,National Autonomous University of Mexico
37,Alberto Verjovsky,math.DG math.AT,"  We study the space of deformations of a smooth foliation of the 5-sphere by
complex manifolds
","On the moduli space of certain smooth codimension one foliations of the
  5-sphere by complex surfaces",National Autonomous University of Mexico
38,Alberto Verjovsky,math.AT math.AG,"  In the context of orientable circuits and subcomplexes of these as
representing certain singular spaces, we consider characteristic class formulas
generalizing those classical results as seen for the Riemann-Hurwitz formula
for regulating the topology of branched covering maps and that for monoidal
transformations which include the standard blowing-up process. Here the results
are presented as cap product pairings, which will be elements of a suitable
homology theory, rather than characteristic numbers as would be the case when
taking Kronecker products once Poincar\'e duality is defined. We further
consider possible applications and examples including branched covering maps,
singular varieties involving virtual tangent bundles, the
Chern-Schwartz-MacPherson class, the homology L-class, generalized signature,
and the cohomology signature class.
","Homology theory formulas for generalized Riemann-Hurwitz and generalized
  monoidal transformations",National Autonomous University of Mexico
39,Alberto Verjovsky,math.GT,"  In this paper we prove that a wild knot $K$ which is the limit set of a
Kleinian group acting conformally on the unit 3-sphere, with its standard
metric, is homogeneous: given two points $p, q\in{K}$ there exists a
homeomorphism $f$ of the sphere such that $f(K)=K$ and $f(p)=q$. We also show
that if the wild knot is a fibered knot then we can choose an $f$ which
preserves the fibers.
",Homogeneity of dynamically defined wild knots,National Autonomous University of Mexico
40,Alberto Verjovsky,math.GT,"  In this paper, we prove that given two cubical links of dimension two in
${\mathbb R}^4$, they are isotopic if and only if one can pass from one to the
other by a finite sequence of cubulated moves. These moves are analogous to the
Reidemeister and Roseman moves for classical tame knots of dimension one and
two, respectively.
",Cubulated moves for 2-knots,National Autonomous University of Mexico
41,Alberto Verjovsky,math.CV,"  We generalize the Ahlfors-Bers theory to the adelic Riemann sphere. In
particular, after defining the appropriate notion of a Beltrami differential in
the solenoidal context, we give a sufficient condition on it such that the
corresponding Beltrami equation has a quasiconformal homeomorphism solution;
i.e. The Ahlfors-Bers Theorem in the solenoidal case. This additional condition
on the solenoidal Beltrami differentials can be written as a Banach norm in a
subspace of solenoidal differentials. Moreover, this subspace is the completion
under this norm of those solenoidal differentials locally constant at the
fiber. As a toy example, we show how this technique works on a linear problem:
We generalize the diophantine equation complex analytic extension problem to
the respective solenoidal space.
",Adelic solenoid II: Ahlfors-Bers theory,National Autonomous University of Mexico
42,Alberto Verjovsky,math.DS,"  Inspired by the works of Zagier, we study the probability measures $\nu(t)$
with support on the flat tori which are the compact orbits of the maximal
unipotent subgroup acting holomorphically on the positive orthonormal frame
bundle $\mathcal{F}({M}_D)$ of 3-dimensional hyperbolic Bianchi orbifolds
${M}_D=\mathbb{H}^3/\widetilde{\Gamma}_D$, of finite volume and with only one
cusp. Here $\Gamma_D=PSL(2, \mathcal{O})$, where $\mathcal{O}$ is the ring of
integers of an imaginary quadratic field of class number one.
","Eisenstein series and equidistribution of Lebesgue probability measures
  on compact leaves of the horocycle foliations of Bianchi 3-orbifolds",National Autonomous University of Mexico
43,Alberto Verjovsky,math.CV math.AG,"  In this paper, following Grothendieck {\it Esquisse d'un programme}, which
was motivated by Belyi's work, we study some properties of surfaces $X$ which
are triangulated by (possibly ideal) isometric equilateral triangles of one of
the spherical, euclidean or hyperbolic geometries. These surfaces have a
natural Riemannian metric with conic singularities. In the euclidean case we
analyze the closed geodesics and their lengths. Such surfaces can be given the
structure of a Riemann surface which, considered as algebraic curves, are
defined over $\bar{\mathbb{Q}}$ by a theorem of Belyi. They have been studied
by many authors of course. Here we define the notion of connected sum of two
Belyi functions and give some concrete examples. In the particular case when
$X$ is a torus, the triangulation leads to an elliptic curve and we define the
notion of a ""peel"" obtained from the triangulation (which is a metaphor of an
orange peel) and relate this peel with the modulus $\tau$ of the elliptic
curve. Many fascinating questions arise regarding the modularity of the
elliptic curve and the geometric aspects of the Taniyama-Shimura-Weil theory.
","Some remarks on equilateral triangulations of surfaces and Belyi
  functions",National Autonomous University of Mexico
44,Alberto Verjovsky,math.DS math.NT,"  Inspired by the work of Zagier, we study geometrically the probability
measures $m_y$ with support on the closed horocycles of the unit tangent bundle
$M=\text{PSL}(2,\mathbb{R})/\text{PSL}(2,\mathbb{Z})$ of the modular orbifold
$\text{PSL}(2,\mathbb Z)$. In fact, the canonical projection
$\mathfrak{p}:M\to\mathbb{H}/\text{PSL}(2,\mathbb Z)$ it is actually a Seifert
fibration over the orbifold with two especial circle fibers corresponding to
the two conical points of the modular orbifold. Zagier proved that $m_y$
converges to normalized Haar measure $m_o$ of $M$ as $y\to0$: for every smooth
function $f:M\to \mathbb R$ with compact support $m_y(f)=m_0(f)+o(y^\frac12)$
as $y\to0$. He also shows that
  $m_y(f)=m_0(f)+o(y^{\frac34-\epsilon})$ for all $\epsilon>0$ and smooth
function $f$ with compact support in $M$ if and only if the Riemann hypothesis
is true. In this paper we show that the exponent $\frac12$ is optimal if $f$ is
the characteristic function of certain open sets in $M$. This of course does
not imply that the Riemann hypothesis is false. It is required the
differentiability of the functions in the theorem.
","Arithmetic, geometry and dynamics in the unit tangent bundle of the
  modular orbifold",National Autonomous University of Mexico
